Date,Price
12/2/1991,75.976
12/3/1991,75.9954
12/4/1991,75.8192
12/5/1991,75.3714
12/6/1991,75.7473
12/9/1991,75.3467
12/10/1991,75.261
12/11/1991,75.1401
12/12/1991,75.8485
12/13/1991,76.9684
12/16/1991,76.8587
12/17/1991,76.0018
12/18/1991,76.0746
12/19/1991,75.0731
12/20/1991,75.9218
12/23/1991,78.6085
12/24/1991,79.3853
12/26/1991,80.0632
12/27/1991,80.4866
12/30/1991,83.1244
12/31/1991,83.7412
1/2/1992,84.4221
1/3/1992,84.8512
1/6/1992,84.6595
1/7/1992,84.4504
1/8/1992,84.8319
1/9/1992,85.1882
1/10/1992,85.0567
1/13/1992,85.2797
1/14/1992,87.1961
1/15/1992,87.9583
1/16/1992,87.9486
1/17/1992,87.478
1/20/1992,86.6823
1/21/1992,85.3364
1/22/1992,86.6977
1/23/1992,86.0096
1/24/1992,86.4744
1/27/1992,86.6396
1/28/1992,86.9457
1/29/1992,85.6705
1/30/1992,85.9102
1/31/1992,85.5786
2/3/1992,86.6863
2/4/1992,87.7908
2/5/1992,88.359
2/6/1992,88.5296
2/7/1992,87.6885
2/10/1992,88.3792
2/11/1992,88.5773
2/12/1992,89.172
2/13/1992,89.0331
2/14/1992,89.1742
2/18/1992,88.1225
2/19/1992,88.4252
2/20/1992,89.9983
2/21/1992,89.1006
2/24/1992,88.8446
2/25/1992,88.0276
2/26/1992,89.5043
2/27/1992,89.4544
2/28/1992,89.3404
3/2/1992,89.4232
3/3/1992,89.6427
3/4/1992,88.8799
3/5/1992,88.6626
3/6/1992,87.8838
3/9/1992,87.857
3/10/1992,88.2416
3/11/1992,87.715
3/12/1992,87.6064
3/13/1992,87.8398
3/16/1992,88.1264
3/17/1992,89.2479
3/18/1992,89.5224
3/19/1992,90.2714
3/20/1992,90.4926
3/23/1992,89.8058
3/24/1992,89.2756
3/25/1992,88.9711
3/26/1992,89.1476
3/27/1992,88.0405
3/30/1992,87.993
3/31/1992,88.0847
4/1/1992,88.3306
4/2/1992,87.3261
4/3/1992,86.9659
4/6/1992,87.9679
4/7/1992,86.1886
4/8/1992,85.0456
4/9/1992,86.6218
4/10/1992,87.388
4/13/1992,87.8463
4/14/1992,89.3097
4/15/1992,90.6787
4/16/1992,90.6387
4/20/1992,88.9016
4/21/1992,88.6824
4/22/1992,88.7023
4/23/1992,89.2169
4/24/1992,87.8969
4/27/1992,87.3746
4/28/1992,87.2574
4/29/1992,88.4134
4/30/1992,88.6465
5/1/1992,87.5204
5/4/1992,88.442
5/5/1992,88.6809
5/6/1992,88.8802
5/7/1992,88.7295
5/8/1992,88.8598
5/11/1992,89.385
5/12/1992,88.896
5/13/1992,89.0344
5/14/1992,87.6741
5/15/1992,86.8947
5/18/1992,88.1479
5/19/1992,89.0514
5/20/1992,88.5504
5/21/1992,87.6754
5/22/1992,87.7814
5/26/1992,86.6414
5/27/1992,87.2752
