Date,Price
12/2/1991,90.02
12/3/1991,88.98
12/4/1991,88.33
12/5/1991,87.21
12/6/1991,87.62
12/9/1991,86.73
12/10/1991,86.3
12/11/1991,86.35
12/12/1991,87.52
12/13/1991,88.38
12/16/1991,88.22
12/17/1991,87.89
12/18/1991,88.22
12/19/1991,87.9
12/20/1991,88.57
12/23/1991,89.47
12/24/1991,89.23
12/26/1991,89.33
12/27/1991,89.59
12/30/1991,90.67
12/31/1991,92.5
1/2/1992,92.93
1/3/1992,93.08
1/6/1992,91.89
1/7/1992,90.01
1/8/1992,88.69
1/9/1992,87.97
1/10/1992,88.09
1/13/1992,89.32
1/14/1992,91.07
1/15/1992,90.92
1/16/1992,90.99
1/17/1992,91.9
1/20/1992,92.18
1/21/1992,93.5
1/22/1992,92.21
1/23/1992,90.51
1/24/1992,90.97
1/27/1992,90.83
1/28/1992,90.98
1/29/1992,89.67
1/30/1992,88.67
1/31/1992,87.82
2/3/1992,88.13
2/4/1992,88.57
2/5/1992,87.28
2/6/1992,87.62
2/7/1992,88.36
2/10/1992,89.51
2/11/1992,89.13
2/12/1992,89.96
2/13/1992,89.11
2/14/1992,88.77
2/18/1992,86.57
2/19/1992,85.93
2/20/1992,86.2
2/21/1992,85.98
2/24/1992,86.19
2/25/1992,86.13
2/26/1992,86.78
2/27/1992,86.49
2/28/1992,86.16
3/2/1992,85.22
3/3/1992,85.51
3/4/1992,84.53
3/5/1992,84.36
3/6/1992,84.39
3/9/1992,84.09
3/10/1992,84.01
3/11/1992,83.71
3/12/1992,84.64
3/13/1992,85.69
3/16/1992,85.53
3/17/1992,85.24
3/18/1992,84.54
3/19/1992,84.16
3/20/1992,83.78
3/23/1992,84.16
3/24/1992,83.72
3/25/1992,83.42
3/26/1992,84.01
3/27/1992,83.54
3/30/1992,83.2
3/31/1992,83.35
4/1/1992,83.45
4/2/1992,82.63
4/3/1992,84.95
4/6/1992,88.08
4/7/1992,86.13
4/8/1992,85.97
4/9/1992,85.91
4/10/1992,86.37
4/13/1992,86.09
4/14/1992,87.24
4/15/1992,88.19
4/16/1992,88.7
4/20/1992,87.73
4/21/1992,87.77
4/22/1992,86.64
4/23/1992,87.67
4/24/1992,88.65
4/27/1992,89.44
4/28/1992,90.28
4/29/1992,90.05
4/30/1992,91.84
5/1/1992,91.3
5/4/1992,91.95
5/5/1992,91.62
5/6/1992,91.19
5/7/1992,90.89
5/8/1992,91
5/11/1992,91.51
5/12/1992,90.62
5/13/1992,90.64
5/14/1992,91.18
5/15/1992,90.12
5/18/1992,91.5
5/19/1992,91.65
5/20/1992,90.77
5/21/1992,91.24
5/22/1992,92.85
5/26/1992,97.82
5/27/1992,95.28
5/28/1992,95.62
5/29/1992,94.24
6/1/1992,94.65
6/2/1992,94.29
6/3/1992,95.67
6/4/1992,95.95
6/5/1992,96
6/8/1992,95.91
6/9/1992,95.98
6/10/1992,96.03
6/11/1992,96.58
6/12/1992,95.26
6/15/1992,95.69
6/16/1992,95.21
6/17/1992,94.56
6/18/1992,93.35
6/19/1992,93.91
6/22/1992,92.78
6/23/1992,92.04
6/24/1992,92.51
6/25/1992,91.46
6/26/1992,91.13
6/29/1992,92.53
6/30/1992,91.56
7/1/1992,91.66
7/2/1992,91.98
7/6/1992,92.71
7/7/1992,92.06
7/8/1992,92.08
7/9/1992,92.36
7/10/1992,92.43
7/13/1992,92.49
7/14/1992,94.67
7/15/1992,93.76
7/16/1992,94.03
7/17/1992,93.46
7/20/1992,93.12
7/21/1992,92.85
7/22/1992,92.68
7/23/1992,93.41
7/24/1992,93.12
7/27/1992,92.36
7/28/1992,93.48
7/29/1992,94.09
7/30/1992,95.49
7/31/1992,95.59
8/3/1992,95.97
8/4/1992,96.14
8/5/1992,95.28
8/6/1992,94.61
8/7/1992,94.27
8/10/1992,95.02
8/11/1992,95.34
8/12/1992,95.3
8/13/1992,96.5
8/14/1992,96.05
8/17/1992,95.77
8/18/1992,96.41
8/19/1992,96.74
8/20/1992,96.8
8/21/1992,95.23
8/24/1992,95.77
8/25/1992,96.06
8/26/1992,96.19
8/27/1992,95.68
8/28/1992,96.98
8/31/1992,97.47
9/1/1992,97
9/2/1992,96.96
9/3/1992,95.66
9/4/1992,95.69
9/8/1992,95.55
9/9/1992,95.64
9/10/1992,96.7
9/11/1992,96.17
9/14/1992,95.9
9/15/1992,95.46
9/16/1992,96.52
9/17/1992,96.75
9/18/1992,97.29
9/21/1992,97.35
9/22/1992,96.53
9/23/1992,97.01
9/24/1992,96.83
9/25/1992,96.08
9/28/1992,97.52
9/29/1992,97.23
9/30/1992,97.22
10/1/1992,97.14
10/2/1992,96.31
10/5/1992,95.18
10/6/1992,94.44
10/7/1992,93.74
10/8/1992,94.18
10/9/1992,92.58
10/12/1992,93.44
10/13/1992,93.34
10/14/1992,93.6
10/15/1992,94.25
10/16/1992,94.55
10/19/1992,94.8
10/20/1992,94.49
10/21/1992,94.47
10/22/1992,94.21
10/23/1992,94.06
10/26/1992,94.05
10/27/1992,94.52
10/28/1992,94.26
10/29/1992,93.83
10/30/1992,92.47
11/2/1992,91.86
11/3/1992,90.09
11/4/1992,88.96
11/5/1992,89.17
11/6/1992,88.71
11/9/1992,89.17
11/10/1992,89.74
11/11/1992,89.4
11/12/1992,89.62
11/13/1992,89.31
11/16/1992,88.81
11/17/1992,88.58
11/18/1992,89.9
11/19/1992,90.27
11/20/1992,91.05
11/23/1992,89.79
11/24/1992,89.78
11/25/1992,89.83
11/27/1992,89.34
11/30/1992,89.62
12/1/1992,88.77
12/2/1992,88.07
12/3/1992,87.93
12/4/1992,88.77
12/7/1992,89.98
12/8/1992,90.29
12/9/1992,89.81
12/10/1992,91.1
12/11/1992,90.37
12/14/1992,90.2
12/15/1992,90.75
12/16/1992,90.82
12/17/1992,91.83
12/18/1992,92.57
12/21/1992,91.89
12/22/1992,91.07
12/23/1992,90.69
12/24/1992,90.97
12/28/1992,90.77
12/29/1992,90.62
12/30/1992,90.73
12/31/1992,90.33
1/4/1993,90.74
1/5/1993,90.91
1/6/1993,90.9
1/7/1993,89.91
1/8/1993,88.9
1/11/1993,89.17
1/12/1993,88.96
1/13/1993,89.84
1/14/1993,89.26
1/15/1993,88.99
1/18/1993,88.2
1/19/1993,87.89
1/20/1993,87.72
1/21/1993,87.5
1/22/1993,87.64
1/25/1993,91.19
1/26/1993,92.13
1/27/1993,91.24
1/28/1993,92.84
1/29/1993,92.42
2/1/1993,93.04
2/2/1993,93.25
2/3/1993,93.89
2/4/1993,94.16
2/5/1993,94.92
2/8/1993,95.94
2/9/1993,95.18
2/10/1993,94.69
2/11/1993,95.06
2/12/1993,93.7
2/16/1993,93.72
2/17/1993,93.58
2/18/1993,93.44
2/19/1993,96.32
2/22/1993,97.29
2/23/1993,96.5
2/24/1993,96.62
2/25/1993,96.15
2/26/1993,96.7
3/1/1993,97.22
3/2/1993,98.83
3/3/1993,97.49
3/4/1993,97.75
3/5/1993,96.52
3/8/1993,97.62
3/9/1993,97.47
3/10/1993,97.34
3/11/1993,96.61
3/12/1993,95.68
3/15/1993,96.57
3/16/1993,97.73
3/17/1993,98.17
3/18/1993,98.88
3/19/1993,99.02
3/22/1993,99.3
3/23/1993,98.6
3/24/1993,99.45
3/25/1993,100.23
3/26/1993,99.78
3/29/1993,100.52
3/30/1993,100.82
3/31/1993,100.25
4/1/1993,99.78
4/2/1993,99.89
4/5/1993,101.63
4/6/1993,102.19
4/7/1993,102.82
4/8/1993,102.81
4/12/1993,103.51
4/13/1993,103.84
4/14/1993,103.76
4/15/1993,102.63
4/16/1993,103.85
4/19/1993,103.22
4/20/1993,102.15
4/21/1993,100.94
4/22/1993,100.55
4/23/1993,99.44
4/26/1993,99.4
4/27/1993,99.65
4/28/1993,101.1
4/29/1993,101.37
4/30/1993,101.58
5/3/1993,101.73
5/4/1993,101.83
5/5/1993,101.6
5/6/1993,101.71
5/7/1993,100.88
5/10/1993,100.12
5/11/1993,100.48
5/12/1993,101.65
5/13/1993,101.48
5/14/1993,101.01
5/17/1993,101.42
5/18/1993,101.11
5/19/1993,101.4
5/20/1993,102.1
5/21/1993,101.38
5/24/1993,101.75
5/25/1993,102.09
5/26/1993,102.23
5/27/1993,103.07
5/28/1993,102.79
6/1/1993,103.63
6/2/1993,103.49
6/3/1993,103.59
6/4/1993,103.5
6/7/1993,103.81
6/8/1993,104.18
6/9/1993,105.15
6/10/1993,104.58
6/11/1993,101.91
6/14/1993,102.22
6/15/1993,102.18
6/16/1993,103.48
6/17/1993,103.94
6/18/1993,102.25
6/21/1993,102.81
6/22/1993,103.23
6/23/1993,100.9
6/24/1993,101.01
6/25/1993,101.18
6/28/1993,102.24
6/29/1993,101.87
6/30/1993,101.7
7/1/1993,101.38
7/2/1993,100.09
7/6/1993,99.26
7/7/1993,99.63
7/8/1993,100.2
7/9/1993,99.8
7/12/1993,99.88
7/13/1993,99.94
7/14/1993,100.1
7/15/1993,98.77
7/16/1993,97.94
7/19/1993,99.25
7/20/1993,99.12
7/21/1993,99.67
7/22/1993,99.81
