Date,Price
12/2/1991,73.74
12/3/1991,73.92
12/4/1991,73.62
12/5/1991,72.66
12/6/1991,72.96
12/9/1991,73.26
12/10/1991,73.25
12/11/1991,73.15
12/12/1991,74.33
12/13/1991,74.87
12/16/1991,74.63
12/17/1991,73.92
12/18/1991,73.76
12/19/1991,73.55
12/20/1991,74.86
12/23/1991,77.53
12/24/1991,79.04
12/26/1991,81.23
12/27/1991,81.55
12/30/1991,83.13
12/31/1991,82.78
1/2/1992,82.58
1/3/1992,83.08
1/6/1992,83.51
1/7/1992,83.46
1/8/1992,83.79
1/9/1992,83.57
1/10/1992,82.75
1/13/1992,82.51
1/14/1992,84.48
1/15/1992,85.18
1/16/1992,84.55
1/17/1992,84.11
1/20/1992,83.18
1/21/1992,82.08
1/22/1992,83.64
1/23/1992,83.56
1/24/1992,83.74
1/27/1992,83.63
1/28/1992,83.74
1/29/1992,82.64
1/30/1992,82.46
1/31/1992,81.31
2/3/1992,81.7
2/4/1992,82.9
2/5/1992,82.93
2/6/1992,83.29
2/7/1992,82.76
2/10/1992,83.08
2/11/1992,82.93
2/12/1992,83.9
2/13/1992,83.09
2/14/1992,82.62
2/18/1992,82.22
2/19/1992,82.53
2/20/1992,83.59
2/21/1992,83.41
2/24/1992,83.88
2/25/1992,83.46
2/26/1992,84.32
2/27/1992,84.46
2/28/1992,84.15
3/2/1992,84.44
3/3/1992,84.36
3/4/1992,83.67
3/5/1992,82.53
3/6/1992,82.07
3/9/1992,82.34
3/10/1992,82.92
3/11/1992,82.01
3/12/1992,81.8
3/13/1992,82.13
3/16/1992,82.35
3/17/1992,83.13
3/18/1992,83.47
3/19/1992,83.81
3/20/1992,84.54
3/23/1992,83.86
3/24/1992,83.42
3/25/1992,83.24
3/26/1992,83.65
3/27/1992,82.59
3/30/1992,82.6
3/31/1992,82.55
4/1/1992,82.1
4/2/1992,80.79
4/3/1992,80.22
4/6/1992,81.39
4/7/1992,79.66
4/8/1992,78.48
4/9/1992,80.8
4/10/1992,81.25
4/13/1992,81.72
4/14/1992,83.18
4/15/1992,83.35
4/16/1992,83.15
4/20/1992,82.18
4/21/1992,82.95
4/22/1992,84.27
4/23/1992,84.58
4/24/1992,83.55
4/27/1992,83
4/28/1992,82.69
4/29/1992,83.83
4/30/1992,83.42
5/1/1992,83.23
5/4/1992,84.39
5/5/1992,84.75
5/6/1992,85.21
5/7/1992,84.96
5/8/1992,85.17
5/11/1992,86.17
5/12/1992,86.07
5/13/1992,86.69
5/14/1992,85.52
5/15/1992,84.81
5/18/1992,85.13
5/19/1992,86.01
5/20/1992,86.33
5/21/1992,85.51
5/22/1992,85.57
5/26/1992,84.09
5/27/1992,84.45
5/28/1992,85.01
5/29/1992,84.88
6/1/1992,85.16
6/2/1992,84.94
6/3/1992,85.5
6/4/1992,84.95
6/5/1992,84.94
6/8/1992,85.57
6/9/1992,84.58
6/10/1992,84.03
6/11/1992,84.32
6/12/1992,84.7
6/15/1992,84.96
6/16/1992,84.57
6/17/1992,83.07
6/18/1992,82.77
6/19/1992,83.16
6/22/1992,82.9
6/23/1992,83.8
6/24/1992,83.95
6/25/1992,84.35
6/26/1992,85.18
6/29/1992,86.21
6/30/1992,86.47
7/1/1992,87.53
7/2/1992,88.31
7/6/1992,88.16
7/7/1992,87.24
7/8/1992,87.04
7/9/1992,87.87
7/10/1992,88.73
7/13/1992,88.3
7/14/1992,88.73
7/15/1992,87.97
7/16/1992,86.93
7/17/1992,86.76
7/20/1992,87.39
7/21/1992,87.35
7/22/1992,87
7/23/1992,87.05
7/24/1992,86.42
7/27/1992,85.98
7/28/1992,87.59
7/29/1992,88.34
7/30/1992,88.72
7/31/1992,88.64
8/3/1992,88.79
8/4/1992,88.42
8/5/1992,88.22
8/6/1992,88.06
8/7/1992,88.07
8/10/1992,87.61
8/11/1992,87.77
8/12/1992,87.87
8/13/1992,87.55
8/14/1992,88.24
8/17/1992,88.15
8/18/1992,87.68
8/19/1992,85.94
8/20/1992,85.98
8/21/1992,85.67
8/24/1992,84.04
8/25/1992,83.88
8/26/1992,84.44
8/27/1992,84.99
8/28/1992,85.34
8/31/1992,84.68
9/1/1992,85.25
9/2/1992,85.81
9/3/1992,85.57
9/4/1992,85.46
9/8/1992,84.05
9/9/1992,84.11
9/10/1992,84.72
9/11/1992,84.5
9/14/1992,86.06
9/15/1992,85.15
9/16/1992,85.28
9/17/1992,85.09
9/18/1992,86.05
9/21/1992,86.11
9/22/1992,85.23
9/23/1992,85.15
9/24/1992,86.24
9/25/1992,86.2
9/28/1992,86.44
9/29/1992,86.61
9/30/1992,87.55
10/1/1992,88.22
10/2/1992,87.05
10/5/1992,86.18
10/6/1992,86.36
10/7/1992,86.05
10/8/1992,86.2
10/9/1992,85.54
10/12/1992,86.62
10/13/1992,86.71
10/14/1992,86.6
10/15/1992,86.7
10/16/1992,87.4
10/19/1992,88.78
10/20/1992,89.1
10/21/1992,89.08
10/22/1992,88.33
10/23/1992,88.46
10/26/1992,89.64
10/27/1992,89.79
10/28/1992,90.05
10/29/1992,90.16
10/30/1992,89.58
11/2/1992,90.29
11/3/1992,90.1
11/4/1992,89.75
11/5/1992,90.46
11/6/1992,90.86
11/9/1992,91.6
11/10/1992,92.07
11/11/1992,92.77
11/12/1992,93.17
11/13/1992,93.15
11/16/1992,92.54
11/17/1992,91.98
11/18/1992,92.57
11/19/1992,92.35
11/20/1992,92.77
11/23/1992,92.81
11/24/1992,93.36
11/25/1992,94.6
11/27/1992,94.89
11/30/1992,95.26
12/1/1992,94.83
12/2/1992,94.57
12/3/1992,94.84
12/4/1992,95.51
12/7/1992,96.11
12/8/1992,96.47
12/9/1992,96.13
12/10/1992,95.96
12/11/1992,95.67
12/14/1992,95.75
12/15/1992,96.3
12/16/1992,95.72
12/17/1992,96.51
12/18/1992,98.06
12/21/1992,98.35
12/22/1992,99.02
12/23/1992,98.6
12/24/1992,98.67
12/28/1992,98.88
12/29/1992,99.13
12/30/1992,99.56
12/31/1992,99.13
1/4/1993,98.95
1/5/1993,98.13
1/6/1993,98.44
1/7/1993,97.29
1/8/1993,96.69
1/11/1993,97.46
1/12/1993,97.7
1/13/1993,98.38
1/14/1993,99.74
1/15/1993,100.55
1/18/1993,101.37
1/19/1993,102.36
1/20/1993,101.76
1/21/1993,101.72
1/22/1993,101.74
1/25/1993,102.26
1/26/1993,102.26
1/27/1993,102.3
1/28/1993,102.13
1/29/1993,102.35
2/1/1993,103.75
2/2/1993,104.41
2/3/1993,105.88
2/4/1993,107.38
2/5/1993,106.56
2/8/1993,106.11
2/9/1993,105.43
2/10/1993,105.4
2/11/1993,105.39
2/12/1993,104.35
2/16/1993,101.53
2/17/1993,100.6
2/18/1993,100.23
2/19/1993,102.11
2/22/1993,101.93
2/23/1993,101.13
2/24/1993,103.06
2/25/1993,104.19
2/26/1993,104.35
3/1/1993,104.37
3/2/1993,105.33
3/3/1993,106.16
3/4/1993,105.65
3/5/1993,105.09
3/8/1993,107.5
3/9/1993,108.75
3/10/1993,109.9
3/11/1993,109.72
3/12/1993,108.75
3/15/1993,108.72
3/16/1993,108.83
3/17/1993,107.98
3/18/1993,108.71
3/19/1993,108.06
3/22/1993,108
3/23/1993,107.63
3/24/1993,107.57
3/25/1993,108.26
3/26/1993,107.87
3/29/1993,108.65
3/30/1993,108.06
3/31/1993,108.2
4/1/1993,108.43
4/2/1993,106.44
4/5/1993,106.96
4/6/1993,107.05
4/7/1993,108.82
4/8/1993,109.5
4/12/1993,111.7
4/13/1993,112.85
4/14/1993,112.58
4/15/1993,112
4/16/1993,112.12
4/19/1993,111.12
4/20/1993,109.05
4/21/1993,107.41
4/22/1993,106.5
4/23/1993,105.27
4/26/1993,101.43
4/27/1993,103.22
4/28/1993,103.18
4/29/1993,103.73
4/30/1993,104.49
5/3/1993,104.86
5/4/1993,106.13
5/5/1993,105
5/6/1993,104.63
5/7/1993,103.55
5/10/1993,103.94
5/11/1993,105.34
5/12/1993,105.01
5/13/1993,102.69
5/14/1993,101.3
5/17/1993,100.8
5/18/1993,100.97
5/19/1993,103.22
5/20/1993,103.79
5/21/1993,102.2
5/24/1993,102.36
5/25/1993,102.78
5/26/1993,105.35
5/27/1993,104.88
5/28/1993,104.05
6/1/1993,104.87
6/2/1993,104.74
6/3/1993,104.34
6/4/1993,103.04
6/7/1993,100.49
6/8/1993,100.21
6/9/1993,101.3
6/10/1993,101.36
6/11/1993,102.82
6/14/1993,103.31
6/15/1993,103.44
6/16/1993,103.49
6/17/1993,104.16
6/18/1993,103.64
6/21/1993,105.01
6/22/1993,106.15
6/23/1993,105.49
6/24/1993,107.2
6/25/1993,107.22
6/28/1993,109.55
6/29/1993,108.73
6/30/1993,109.14
7/1/1993,109.26
7/2/1993,108.29
7/6/1993,108.13
7/7/1993,108.95
7/8/1993,111.07
7/9/1993,110.62
7/12/1993,110.75
7/13/1993,109.97
7/14/1993,109.24
7/15/1993,109.98
7/16/1993,109.64
7/19/1993,110.27
7/20/1993,109.94
7/21/1993,110.01
7/22/1993,109.03
7/23/1993,109.91
7/26/1993,110.61
7/27/1993,110.7
7/28/1993,110.31
7/29/1993,111.9
7/30/1993,111.09
8/2/1993,111.65
8/3/1993,111.67
8/4/1993,112
8/5/1993,112.15
8/6/1993,112.52
8/9/1993,113.22
8/10/1993,113.24
8/11/1993,113.15
8/12/1993,113.26
8/13/1993,113.19
8/16/1993,112.87
8/17/1993,111.89
8/18/1993,112.11
8/19/1993,111.92
8/20/1993,111.72
8/23/1993,111.78
8/24/1993,113.34
8/25/1993,113.5
8/26/1993,113.72
8/27/1993,113.21
8/30/1993,113.26
8/31/1993,113.8
9/1/1993,113.66
9/2/1993,113.08
9/3/1993,113.46
9/7/1993,113.51
9/8/1993,113.46
9/9/1993,115.13
9/10/1993,116.51
9/13/1993,116.14
9/14/1993,115.19
9/15/1993,115.21
9/16/1993,114.84
9/17/1993,114.88
9/20/1993,114.33
9/21/1993,112.92
9/22/1993,114.12
9/23/1993,114.42
9/24/1993,114.93
9/27/1993,116.34
9/28/1993,116.77
9/29/1993,116.33
9/30/1993,115.71
10/1/1993,116.21
10/4/1993,116.46
10/5/1993,115.85
10/6/1993,115.96
10/7/1993,115.47
10/8/1993,115.94
10/11/1993,115.79
10/12/1993,116.39
10/13/1993,116.52
10/14/1993,115.72
10/15/1993,114.49
10/18/1993,111.81
10/19/1993,110.83
10/20/1993,110.66
10/21/1993,110.66
10/22/1993,110.66
10/25/1993,109.95
10/26/1993,108.89
10/27/1993,108.43
10/28/1993,108.62
10/29/1993,108.85
11/1/1993,108.95
11/2/1993,107.44
11/3/1993,104.73
11/4/1993,103.12
11/5/1993,105.11
11/8/1993,105.59
11/9/1993,106.23
11/10/1993,106.28
11/11/1993,105.17
11/12/1993,105.85
11/15/1993,105.01
11/16/1993,105.59
11/17/1993,104.59
11/18/1993,104.15
11/19/1993,103.68
11/22/1993,102.54
11/23/1993,103.94
11/24/1993,103.85
11/26/1993,104.4
11/29/1993,105.01
11/30/1993,104.95
12/1/1993,105.42
12/2/1993,105.94
12/3/1993,106.43
12/6/1993,107.58
12/7/1993,107.64
12/8/1993,107.72
12/9/1993,107.28
12/10/1993,106.47
12/13/1993,106.7
12/14/1993,105.99
12/15/1993,105.34
12/16/1993,106.37
12/17/1993,107.6
12/20/1993,107.96
12/21/1993,107.21
12/22/1993,107.51
12/23/1993,107.39
12/27/1993,108.19
12/28/1993,108.23
12/29/1993,107.64
12/30/1993,107.17
12/31/1993,106.81
1/3/1994,106.02
1/4/1994,106.11
1/5/1994,105.56
1/6/1994,105.05
1/7/1994,107.1
1/10/1994,108.25
1/11/1994,108.31
1/12/1994,108.46
1/13/1994,108.46
1/14/1994,109.42
1/17/1994,108.76
1/18/1994,108.47
1/19/1994,107.61
1/20/1994,108.18
1/21/1994,108.21
1/24/1994,107.68
1/25/1994,107.63
1/26/1994,108.85
1/27/1994,110.46
1/28/1994,111.36
1/31/1994,112.27
2/1/1994,111.62
2/2/1994,111.53
2/3/1994,110.4
2/4/1994,107.26
2/7/1994,107.4
2/8/1994,107.11
2/9/1994,107.86
2/10/1994,106.92
2/11/1994,107.13
2/14/1994,107.12
2/15/1994,107.51
2/16/1994,107.5
2/17/1994,106.77
2/18/1994,106.08
2/22/1994,107.29
2/23/1994,107.09
2/24/1994,105.17
2/25/1994,106.03
2/28/1994,106.02
3/1/1994,104.88
3/2/1994,104.22
3/3/1994,103.37
3/4/1994,103.59
3/7/1994,103.44
3/8/1994,103.32
3/9/1994,103.57
3/10/1994,102.92
3/11/1994,104.37
3/14/1994,104.99
3/15/1994,105.73
3/16/1994,107.18
3/17/1994,106.79
3/18/1994,106.46
3/21/1994,105.82
3/22/1994,106.27
3/23/1994,106.44
3/24/1994,105.65
3/25/1994,104.65
3/28/1994,104.62
3/29/1994,102.9
3/30/1994,101.14
3/31/1994,101.53
4/4/1994,99.96
4/5/1994,102.23
4/6/1994,103.07
4/7/1994,104.21
4/8/1994,104.26
4/11/1994,106.47
