Date,Price
12/2/1991,109.6
12/3/1991,109.79
12/4/1991,110.64
12/5/1991,109.46
12/6/1991,110.6
12/9/1991,110.56
12/10/1991,110.45
12/11/1991,109.76
12/12/1991,111.37
12/13/1991,111.6
12/16/1991,112.64
12/17/1991,113.13
12/18/1991,113.33
12/19/1991,113.56
12/20/1991,115.01
12/23/1991,118.13
12/24/1991,118.46
12/26/1991,121.68
12/27/1991,122.51
12/30/1991,124.32
12/31/1991,124.4
1/2/1992,123.77
1/3/1992,124.24
1/6/1992,124.04
1/7/1992,124.24
1/8/1992,125.02
1/9/1992,125.17
1/10/1992,123.98
1/13/1992,123.09
1/14/1992,123.12
1/15/1992,119.84
1/16/1992,116.34
1/17/1992,117.38
1/20/1992,116.23
1/21/1992,114.06
1/22/1992,117.04
1/23/1992,116.46
1/24/1992,117.01
1/27/1992,115.87
1/28/1992,114.85
1/29/1992,113.81
1/30/1992,115.44
1/31/1992,115.58
2/3/1992,114.97
2/4/1992,116.97
2/5/1992,117.28
2/6/1992,116.12
2/7/1992,115.14
2/10/1992,114.97
2/11/1992,114.37
2/12/1992,114.97
2/13/1992,113.03
2/14/1992,111.52
2/18/1992,109.28
2/19/1992,109.26
2/20/1992,110.5
2/21/1992,109.94
2/24/1992,111.28
2/25/1992,112
2/26/1992,114.97
2/27/1992,113.89
2/28/1992,113.76
3/2/1992,113.31
3/3/1992,112.81
3/4/1992,111.06
3/5/1992,110.18
3/6/1992,109.56
3/9/1992,110.13
3/10/1992,110.75
3/11/1992,109.76
3/12/1992,108.97
3/13/1992,108.7
3/16/1992,108.82
3/17/1992,109.94
3/18/1992,109.2
3/19/1992,109.31
3/20/1992,109.37
3/23/1992,109.15
3/24/1992,110.2
3/25/1992,109.52
3/26/1992,109.13
3/27/1992,107.7
3/30/1992,107.65
3/31/1992,107.93
4/1/1992,109.11
4/2/1992,107.46
4/3/1992,107.99
4/6/1992,108.51
4/7/1992,106.19
4/8/1992,106.41
4/9/1992,108.54
4/10/1992,110.16
4/13/1992,111.41
4/14/1992,112.96
4/15/1992,111.33
4/16/1992,108.73
4/20/1992,105.51
4/21/1992,105.96
4/22/1992,104.7
4/23/1992,103.5
4/24/1992,104.2
4/27/1992,104.77
4/28/1992,105.41
4/29/1992,106.67
4/30/1992,107.36
5/1/1992,107.06
5/4/1992,109.09
5/5/1992,109.16
5/6/1992,108.15
5/7/1992,108.03
5/8/1992,107.82
5/11/1992,108.47
5/12/1992,107.38
5/13/1992,107.19
5/14/1992,105.71
5/15/1992,105.17
5/18/1992,105.81
5/19/1992,107.6
5/20/1992,107.13
5/21/1992,106.53
5/22/1992,107.35
5/26/1992,105.18
5/27/1992,105.31
5/28/1992,108.07
5/29/1992,107.33
6/1/1992,108.76
6/2/1992,104.01
6/3/1992,103.61
6/4/1992,103.11
6/5/1992,103.06
6/8/1992,100.97
6/9/1992,100.05
6/10/1992,98.43
6/11/1992,99.63
6/12/1992,100.13
6/15/1992,99.96
6/16/1992,99.84
6/17/1992,98.19
6/18/1992,98.52
6/19/1992,99.42
6/22/1992,101.72
6/23/1992,101.31
6/24/1992,99.98
6/25/1992,99.81
6/26/1992,100.28
6/29/1992,102.51
6/30/1992,102.15
7/1/1992,104.13
7/2/1992,103.7
7/6/1992,105.85
7/7/1992,104.29
7/8/1992,105.05
7/9/1992,105.53
7/10/1992,104.99
7/13/1992,105.31
7/14/1992,105.23
