Date,Price
12/2/1991,76.6
12/3/1991,76.8
12/4/1991,76.17
12/5/1991,75.45
12/6/1991,75.6
12/9/1991,75.57
12/10/1991,75.15
12/11/1991,75.11
12/12/1991,76.11
12/13/1991,76.98
12/16/1991,76.9
12/17/1991,76.59
12/18/1991,76.55
12/19/1991,76.35
12/20/1991,77.14
12/23/1991,79.52
12/24/1991,80.79
12/26/1991,82.1
12/27/1991,82.07
12/30/1991,84.46
12/31/1991,84.89
1/2/1992,84.49
1/3/1992,85.07
1/6/1992,85.12
1/7/1992,85.31
1/8/1992,85.74
1/9/1992,85.34
1/10/1992,84.99
1/13/1992,84.88
1/14/1992,86.35
1/15/1992,87.68
1/16/1992,88.76
1/17/1992,89
1/20/1992,88.39
1/21/1992,86.88
1/22/1992,87.85
1/23/1992,87.13
1/24/1992,86.61
1/27/1992,86.82
1/28/1992,86.68
1/29/1992,86.05
1/30/1992,86.4
1/31/1992,85.49
2/3/1992,85.71
2/4/1992,86.45
2/5/1992,86.8
2/6/1992,87.12
2/7/1992,86.72
2/10/1992,86.9
2/11/1992,86.99
2/12/1992,87.83
2/13/1992,87.25
2/14/1992,87.16
2/18/1992,86.92
2/19/1992,87.05
2/20/1992,88.79
2/21/1992,88.5
2/24/1992,88.38
2/25/1992,87.57
2/26/1992,88.23
2/27/1992,87.75
2/28/1992,87.55
3/2/1992,88.08
3/3/1992,88.55
3/4/1992,87.99
3/5/1992,87.21
3/6/1992,86.58
3/9/1992,86.44
3/10/1992,86.5
3/11/1992,85.78
3/12/1992,85.67
3/13/1992,86.26
3/16/1992,86.25
3/17/1992,87.04
3/18/1992,86.87
3/19/1992,87.29
3/20/1992,87.89
3/23/1992,87.41
3/24/1992,86.85
3/25/1992,86.13
3/26/1992,86.15
3/27/1992,85.21
3/30/1992,84.98
3/31/1992,85.11
4/1/1992,85.05
4/2/1992,84.5
4/3/1992,84.18
4/6/1992,84.73
4/7/1992,83.27
4/8/1992,82.05
4/9/1992,83.53
4/10/1992,84.62
4/13/1992,84.73
4/14/1992,86.26
4/15/1992,87.79
4/16/1992,88.39
4/20/1992,87.6
4/21/1992,87.29
4/22/1992,86.93
4/23/1992,87.53
4/24/1992,86.63
4/27/1992,86.48
4/28/1992,86.44
4/29/1992,86.71
4/30/1992,86.99
5/1/1992,86.33
5/4/1992,87.19
5/5/1992,86.97
5/6/1992,87.41
5/7/1992,87.19
5/8/1992,87.3
5/11/1992,87.95
5/12/1992,87.74
5/13/1992,87.35
5/14/1992,86.43
5/15/1992,85.74
5/18/1992,85.8
5/19/1992,86.51
5/20/1992,86.22
5/21/1992,85.69
5/22/1992,85.86
5/26/1992,84.9
5/27/1992,85.32
5/28/1992,86.01
5/29/1992,85.89
6/1/1992,86.12
6/2/1992,85.49
6/3/1992,85.63
6/4/1992,85.68
6/5/1992,86.15
6/8/1992,85.93
6/9/1992,85.11
6/10/1992,84.3
6/11/1992,84.55
6/12/1992,84.71
6/15/1992,84.66
6/16/1992,84.73
6/17/1992,83.38
6/18/1992,82.76
6/19/1992,82.99
6/22/1992,82.64
6/23/1992,82.62
6/24/1992,82.65
6/25/1992,82.69
6/26/1992,82.88
6/29/1992,83.58
6/30/1992,83.21
7/1/1992,84.31
7/2/1992,83.38
7/3/1992,#N/A N/A
7/6/1992,83.2
7/7/1992,82.24
7/8/1992,82.27
7/9/1992,83.02
7/10/1992,82.83
7/13/1992,83.09
7/14/1992,83.55
7/15/1992,83.84
7/16/1992,83.86
7/17/1992,83.45
7/20/1992,83.02
7/21/1992,83.21
7/22/1992,82.63
7/23/1992,82.85
7/24/1992,82.51
7/27/1992,82.64
7/28/1992,83.59
7/29/1992,84.86
7/30/1992,85.12
7/31/1992,84.92
8/3/1992,84.7
8/4/1992,84.35
8/5/1992,83.99
8/6/1992,83.83
8/7/1992,83.51
8/10/1992,83.45
8/11/1992,83.21
8/12/1992,82.78
8/13/1992,82.4
8/14/1992,82.91
8/17/1992,83.26
8/18/1992,83.5
8/19/1992,82.95
8/20/1992,82.99
8/21/1992,82.19
8/24/1992,81.13
8/25/1992,80.9
8/26/1992,81.03
8/27/1992,81.49
8/28/1992,81.61
8/31/1992,81.63
9/1/1992,82.08
9/2/1992,82.78
9/3/1992,82.96
9/4/1992,82.57
9/7/1992,#N/A N/A
9/8/1992,81.99
9/9/1992,82.46
9/10/1992,83.6
9/11/1992,83.71
9/14/1992,85.87
9/15/1992,84.88
9/16/1992,84.7
9/17/1992,85.01
9/18/1992,85.45
9/21/1992,84.92
9/22/1992,83.85
9/23/1992,83.8
9/24/1992,84.19
9/25/1992,83.64
9/28/1992,84.43
9/29/1992,84.5
9/30/1992,84.68
10/1/1992,84.2
10/2/1992,82.76
10/5/1992,82.03
10/6/1992,82.26
10/7/1992,81.64
10/8/1992,82.34
10/9/1992,81.5
10/12/1992,82.29
10/13/1992,82.67
10/14/1992,82.61
10/15/1992,82.49
10/16/1992,83.3
10/19/1992,83.9
10/20/1992,84.17
10/21/1992,84.36
10/22/1992,84.71
10/23/1992,84.9
10/26/1992,85.58
10/27/1992,85.27
10/28/1992,85.81
10/29/1992,85.42
10/30/1992,84.78
11/2/1992,86.24
11/3/1992,86.06
11/4/1992,85.94
11/5/1992,86.46
11/6/1992,86.28
11/9/1992,86.49
11/10/1992,86.1
11/11/1992,86.45
11/12/1992,86.51
11/13/1992,86.41
11/16/1992,85.46
11/17/1992,84.81
11/18/1992,85.31
11/19/1992,85.22
11/20/1992,85.97
11/23/1992,86.6
11/24/1992,87.26
11/25/1992,87.8
11/26/1992,#N/A N/A
11/27/1992,88.23
11/30/1992,88.64
12/1/1992,88.46
12/2/1992,88.47
12/3/1992,88.29
12/4/1992,88.56
12/7/1992,88.87
12/8/1992,89.22
12/9/1992,89.47
12/10/1992,89.12
12/11/1992,89.09
12/14/1992,88.67
12/15/1992,88.99
12/16/1992,88.48
12/17/1992,89.25
12/18/1992,90.67
12/21/1992,90.83
12/22/1992,90.79
12/23/1992,90.81
12/24/1992,91.08
12/28/1992,90.94
12/29/1992,90.77
12/30/1992,91.27
12/31/1992,90.64
1/4/1993,90.98
1/5/1993,91.27
1/6/1993,91.61
1/7/1993,91.36
1/8/1993,91.1
1/11/1993,91.16
1/12/1993,91.03
1/13/1993,90.87
1/14/1993,91.23
1/15/1993,91.45
1/18/1993,91.47
1/19/1993,91.08
1/20/1993,90.27
1/21/1993,90.71
1/22/1993,90.7
1/25/1993,91.32
1/26/1993,91.32
1/27/1993,90.74
1/28/1993,90.93
1/29/1993,91.24
2/1/1993,91.82
2/2/1993,91.71
2/3/1993,92.93
2/4/1993,94.13
2/5/1993,94.37
2/8/1993,94.01
2/9/1993,93.26
2/10/1993,93.26
2/11/1993,93.65
2/12/1993,93.02
2/15/1993,#N/A N/A
2/16/1993,90.79
2/17/1993,90.14
2/18/1993,89.48
2/19/1993,89.75
2/22/1993,90.49
2/23/1993,90.43
2/24/1993,91.29
2/25/1993,91.92
2/26/1993,91.78
3/1/1993,90.95
3/2/1993,92.17
3/3/1993,92.75
3/4/1993,92.47
3/5/1993,92.78
3/8/1993,94.43
3/9/1993,94.61
3/10/1993,94.85
3/11/1993,94.38
3/12/1993,93.62
3/15/1993,93.71
3/16/1993,93.33
3/17/1993,92.97
3/18/1993,93.77
3/19/1993,93.81
3/22/1993,93.7
3/23/1993,93.77
