Date,Price
12/2/1991,65.92
12/3/1991,65.5
12/4/1991,64.87
12/5/1991,64.88
12/6/1991,64.48
12/9/1991,63.37
12/10/1991,64.1
12/11/1991,64.5
12/12/1991,64.84
12/13/1991,65.13
12/16/1991,64.74
12/17/1991,63.87
12/18/1991,63.93
12/19/1991,62.8
12/20/1991,63.32
12/23/1991,65.47
12/24/1991,66.1
12/26/1991,67.54
12/27/1991,67.83
12/30/1991,69.66
12/31/1991,69.3
1/2/1992,70.2
1/3/1992,70.49
1/6/1992,70.97
1/7/1992,72.43
1/8/1992,72.53
1/9/1992,72.92
1/10/1992,72.24
1/13/1992,72.31
1/14/1992,74.09
1/15/1992,76.13
1/16/1992,76.32
1/17/1992,76.6
1/20/1992,75.68
1/21/1992,73.69
1/22/1992,76.11
1/23/1992,75.3
1/24/1992,75.03
1/27/1992,75.2
1/28/1992,75.04
1/29/1992,73.88
1/30/1992,74.1
1/31/1992,73.28
2/3/1992,73.92
2/4/1992,75.18
2/5/1992,75.37
2/6/1992,74.68
2/7/1992,74.91
2/10/1992,75.83
2/11/1992,75.76
2/12/1992,77.86
2/13/1992,77.28
2/14/1992,76.62
2/18/1992,76.01
2/19/1992,76.86
2/20/1992,78.57
2/21/1992,78.4
2/24/1992,77.86
2/25/1992,76.98
2/26/1992,77.83
2/27/1992,77.65
2/28/1992,76.58
3/2/1992,76.91
3/3/1992,77.1
3/4/1992,76.38
3/5/1992,75.4
3/6/1992,74.86
3/9/1992,75.19
3/10/1992,76.2
3/11/1992,75.26
3/12/1992,75.93
3/13/1992,76.46
3/16/1992,76.35
3/17/1992,76.58
3/18/1992,76.77
3/19/1992,76.22
3/20/1992,76.45
3/23/1992,76.02
3/24/1992,75.9
3/25/1992,75.48
3/26/1992,74.61
3/27/1992,72.87
3/30/1992,72.47
3/31/1992,72.76
4/1/1992,72.61
4/2/1992,71.98
4/3/1992,71.63
4/6/1992,72.82
4/7/1992,71.24
4/8/1992,71.71
4/9/1992,72.23
4/10/1992,71
4/13/1992,71.54
4/14/1992,73.41
4/15/1992,74.59
4/16/1992,74.58
4/20/1992,73.63
4/21/1992,73.19
4/22/1992,73.54
4/23/1992,73.26
4/24/1992,72.22
4/27/1992,71.35
4/28/1992,70.63
4/29/1992,72
4/30/1992,73.65
5/1/1992,73.49
5/4/1992,74.07
5/5/1992,75.03
5/6/1992,75.08
5/7/1992,74.84
5/8/1992,74.53
5/11/1992,74.57
5/12/1992,74.43
5/13/1992,73.79
5/14/1992,72.63
5/15/1992,72.22
5/18/1992,71.48
5/19/1992,72.11
5/20/1992,72.02
5/21/1992,71.78
5/22/1992,72.39
5/26/1992,71.57
5/27/1992,72.09
5/28/1992,72.66
5/29/1992,72.41
6/1/1992,72.26
6/2/1992,72.38
6/3/1992,71.94
6/4/1992,71.28
6/5/1992,71.88
6/8/1992,72.03
6/9/1992,71.55
6/10/1992,70.47
6/11/1992,71.34
6/12/1992,71.42
6/15/1992,71.33
6/16/1992,70.02
6/17/1992,68.52
6/18/1992,68.74
6/19/1992,69.42
6/22/1992,69.55
6/23/1992,69.98
6/24/1992,70.38
6/25/1992,69.85
6/26/1992,69.94
6/29/1992,71.72
6/30/1992,71.16
7/1/1992,72.22
7/2/1992,70.56
7/6/1992,70.99
7/7/1992,69.54
7/8/1992,70.49
7/9/1992,71.29
7/10/1992,71.39
7/13/1992,71.83
7/14/1992,72.46
7/15/1992,73.43
7/16/1992,73.79
7/17/1992,71.78
7/20/1992,70.75
7/21/1992,71.12
7/22/1992,70.48
7/23/1992,71.18
7/24/1992,71.38
7/27/1992,70.84
7/28/1992,71.9
7/29/1992,72.43
7/30/1992,72.88
7/31/1992,72.84
8/3/1992,73.07
8/4/1992,72.83
8/5/1992,71.56
8/6/1992,70.37
8/7/1992,68.17
8/10/1992,68.94
8/11/1992,68.75
8/12/1992,68.67
8/13/1992,68.71
8/14/1992,68.91
8/17/1992,68.72
8/18/1992,67.93
8/19/1992,66.87
8/20/1992,66.71
8/21/1992,66.6
8/24/1992,65.69
8/25/1992,66.61
8/26/1992,67.01
8/27/1992,67.47
8/28/1992,67.41
8/31/1992,67.62
9/1/1992,68.39
9/2/1992,69.52
9/3/1992,69.27
9/4/1992,68.58
9/8/1992,68.61
9/9/1992,69.81
9/10/1992,70.81
9/11/1992,70.84
9/14/1992,72.26
9/15/1992,70.37
9/16/1992,69.25
9/17/1992,69.86
9/18/1992,70.26
9/21/1992,70.32
9/22/1992,69.32
9/23/1992,69.92
9/24/1992,69.31
9/25/1992,68.69
9/28/1992,68.87
9/29/1992,68.61
9/30/1992,68.39
10/1/1992,66.94
10/2/1992,66.02
10/5/1992,66.44
10/6/1992,67.46
10/7/1992,66.64
10/8/1992,67.56
10/9/1992,66.57
10/12/1992,66.92
10/13/1992,67.26
10/14/1992,67.01
10/15/1992,65.91
10/16/1992,66.06
10/19/1992,66.52
10/20/1992,66.59
10/21/1992,67.07
10/22/1992,66.95
10/23/1992,67.24
10/26/1992,67.61
10/27/1992,67.05
10/28/1992,68.38
10/29/1992,68.32
10/30/1992,68.1
11/2/1992,69.13
11/3/1992,68.7
11/4/1992,68.8
11/5/1992,69.39
11/6/1992,69.53
11/9/1992,69.72
11/10/1992,70.06
11/11/1992,69.89
11/12/1992,69.19
11/13/1992,69.34
11/16/1992,68.63
11/17/1992,67.21
11/18/1992,68.23
11/19/1992,68.03
11/20/1992,68.98
11/23/1992,68.49
11/24/1992,69.62
11/25/1992,69.77
11/27/1992,70.23
11/30/1992,71.53
12/1/1992,71.43
12/2/1992,71.17
12/3/1992,71.6
12/4/1992,72.15
12/7/1992,72.46
12/8/1992,72.29
12/9/1992,71.57
12/10/1992,70.89
12/11/1992,70.04
12/14/1992,69.96
12/15/1992,67.55
12/16/1992,67.07
12/17/1992,68.78
12/18/1992,68.87
12/21/1992,68.32
12/22/1992,68.9
12/23/1992,69.46
12/24/1992,70.08
12/28/1992,70.14
12/29/1992,69.78
12/30/1992,69.78
12/31/1992,69.7
1/4/1993,69.06
1/5/1993,70.26
1/6/1993,72.22
1/7/1993,71.63
1/8/1993,71.28
1/11/1993,72.89
1/12/1993,72.29
1/13/1993,73.24
1/14/1993,76.26
1/15/1993,75.13
1/18/1993,75.6
1/19/1993,75
1/20/1993,74.15
1/21/1993,75.08
1/22/1993,75.78
1/25/1993,76.61
1/26/1993,77.01
1/27/1993,75.88
