Date,Price
12/2/1991,75.77
12/3/1991,75.62
12/4/1991,75.49
12/5/1991,74.79
12/6/1991,74.77
12/9/1991,74.38
12/10/1991,73.92
12/11/1991,73.78
12/12/1991,73.96
12/13/1991,74.82
12/16/1991,74.83
12/17/1991,73.73
12/18/1991,74.04
12/19/1991,74.09
12/20/1991,74.75
12/23/1991,76.99
12/24/1991,78.25
12/26/1991,78.8
12/27/1991,79.27
12/30/1991,80.99
12/31/1991,81.67
1/2/1992,81.54
1/3/1992,81.95
1/6/1992,81.41
1/7/1992,82.2
1/8/1992,82.45
1/9/1992,82.48
1/10/1992,82.25
1/13/1992,81.71
1/14/1992,82.73
1/15/1992,84.76
1/16/1992,86.79
1/17/1992,86.81
1/20/1992,86.14
1/21/1992,85.04
1/22/1992,85.13
1/23/1992,84.29
1/24/1992,84.7
1/27/1992,85.15
1/28/1992,85.58
1/29/1992,84.52
1/30/1992,84.06
1/31/1992,83.01
2/3/1992,82.79
2/4/1992,84.01
2/5/1992,83.67
2/6/1992,84.4
2/7/1992,83.73
2/10/1992,84.53
2/11/1992,84.6
2/12/1992,85.17
2/13/1992,84.9
2/14/1992,85.82
2/18/1992,85.14
2/19/1992,85.86
2/20/1992,87.26
2/21/1992,86.76
2/24/1992,86.56
2/25/1992,85.39
2/26/1992,85.54
2/27/1992,85.44
2/28/1992,85.08
3/2/1992,85.5
3/3/1992,86.24
3/4/1992,85.83
3/5/1992,85.18
3/6/1992,84.35
3/9/1992,83.78
3/10/1992,83.91
3/11/1992,83.51
3/12/1992,83.26
3/13/1992,84.24
3/16/1992,84.73
3/17/1992,85.82
3/18/1992,86.33
3/19/1992,86.99
3/20/1992,87.12
3/23/1992,87.5
3/24/1992,87.52
3/25/1992,86.87
3/26/1992,87
3/27/1992,86.13
3/30/1992,85.44
3/31/1992,85.45
4/1/1992,85.18
4/2/1992,84.62
4/3/1992,84.02
4/6/1992,84.77
4/7/1992,83.07
4/8/1992,82.03
4/9/1992,83.52
4/10/1992,84.56
4/13/1992,85.17
4/14/1992,86.34
4/15/1992,88.44
4/16/1992,89.14
4/20/1992,88.65
4/21/1992,89.05
4/22/1992,88.56
4/23/1992,89.65
4/24/1992,89.12
4/27/1992,88.1
4/28/1992,88.62
4/29/1992,89.27
4/30/1992,90.45
5/1/1992,89.9
5/4/1992,90.32
5/5/1992,89.81
5/6/1992,89.56
5/7/1992,89.4
5/8/1992,89.21
5/11/1992,89.77
5/12/1992,88.93
5/13/1992,89.34
5/14/1992,89.33
5/15/1992,88.61
5/18/1992,88.89
5/19/1992,89.62
5/20/1992,89.56
5/21/1992,88.82
5/22/1992,88.98
5/26/1992,88.93
5/27/1992,88.66
5/28/1992,89.56
5/29/1992,89.73
6/1/1992,89.91
6/2/1992,90.11
6/3/1992,89.71
6/4/1992,89.73
6/5/1992,89.7
6/8/1992,89.42
6/9/1992,88.61
6/10/1992,88.12
6/11/1992,88.22
6/12/1992,88.71
6/15/1992,88.64
6/16/1992,88.25
6/17/1992,87.16
6/18/1992,85.9
6/19/1992,86.09
6/22/1992,85.43
6/23/1992,85.86
6/24/1992,86.48
6/25/1992,86.67
6/26/1992,86.23
6/29/1992,87.06
6/30/1992,87.35
7/1/1992,88.29
7/2/1992,87.08
7/6/1992,86.57
7/7/1992,84.36
7/8/1992,84.28
7/9/1992,85.6
7/10/1992,85.38
7/13/1992,85.52
7/14/1992,86.35
7/15/1992,85.49
7/16/1992,86.24
7/17/1992,85.89
7/20/1992,85.42
7/21/1992,85.48
7/22/1992,84.7
7/23/1992,84.77
7/24/1992,84.92
7/27/1992,84.61
7/28/1992,85.93
7/29/1992,88.1
7/30/1992,88.31
7/31/1992,88.57
8/3/1992,88.14
8/4/1992,88.19
8/5/1992,87.75
8/6/1992,87.67
8/7/1992,87.1
8/10/1992,86.83
8/11/1992,86.31
8/12/1992,85.32
8/13/1992,84.17
8/14/1992,85.16
8/17/1992,85.42
8/18/1992,85.51
8/19/1992,85.21
8/20/1992,84.74
8/21/1992,83.86
8/24/1992,83.02
8/25/1992,82.87
8/26/1992,83.16
8/27/1992,83.42
8/28/1992,84.26
8/31/1992,83.69
9/1/1992,83.94
9/2/1992,84.68
9/3/1992,84.77
9/4/1992,84.2
9/8/1992,83.34
9/9/1992,83.59
9/10/1992,84.38
9/11/1992,84.54
9/14/1992,87.1
9/15/1992,85.72
9/16/1992,85.32
9/17/1992,85.3
9/18/1992,86.2
9/21/1992,85.73
9/22/1992,84.81
9/23/1992,84.16
9/24/1992,84.4
9/25/1992,83.62
9/28/1992,84.25
9/29/1992,83.97
9/30/1992,83.75
10/1/1992,82.95
10/2/1992,81.53
10/5/1992,80.62
10/6/1992,80.98
10/7/1992,79.99
10/8/1992,80.69
10/9/1992,79.44
10/12/1992,80.17
10/13/1992,80.69
10/14/1992,80.06
10/15/1992,80.08
10/16/1992,81.42
10/19/1992,82.25
10/20/1992,82.46
10/21/1992,82.64
10/22/1992,82.82
10/23/1992,83.04
10/26/1992,83.58
10/27/1992,83.73
10/28/1992,84.78
10/29/1992,85.33
10/30/1992,85.14
11/2/1992,86.03
11/3/1992,86.22
11/4/1992,85.66
11/5/1992,85.75
11/6/1992,85.36
11/9/1992,85.37
11/10/1992,84.1
11/11/1992,84.32
11/12/1992,84.69
11/13/1992,84.26
11/16/1992,83.4
11/17/1992,82.71
11/18/1992,83.5
11/19/1992,83.15
11/20/1992,83.58
11/23/1992,83.15
11/24/1992,84.06
11/25/1992,84.79
11/27/1992,85.93
11/30/1992,86.8
12/1/1992,87.48
12/2/1992,87.58
12/3/1992,87.15
12/4/1992,87.01
12/7/1992,87.24
12/8/1992,87.69
12/9/1992,87.53
12/10/1992,87.21
12/11/1992,87.29
12/14/1992,86.88
12/15/1992,87.14
12/16/1992,87.07
12/17/1992,87.57
12/18/1992,88.9
12/21/1992,88.39
12/22/1992,87.9
12/23/1992,87.39
12/24/1992,87.48
12/28/1992,87.57
12/29/1992,87.3
12/30/1992,88.13
12/31/1992,87.55
1/4/1993,88.27
1/5/1993,88.56
1/6/1993,88.43
1/7/1993,87.5
1/8/1993,87.04
1/11/1993,86.7
1/12/1993,86.18
1/13/1993,85.66
1/14/1993,85.28
1/15/1993,86
1/18/1993,86.6
1/19/1993,86.33
1/20/1993,86.19
1/21/1993,86.35
1/22/1993,86.22
1/25/1993,86.89
1/26/1993,87.65
1/27/1993,87.52
1/28/1993,87.43
1/29/1993,87.67
2/1/1993,88.05
2/2/1993,88.45
2/3/1993,89.33
2/4/1993,91.1
2/5/1993,93.2
2/8/1993,92.94
2/9/1993,92.22
2/10/1993,92.3
2/11/1993,92.97
2/12/1993,91.98
2/16/1993,89.27
2/17/1993,89.18
2/18/1993,88.53
2/19/1993,88.71
2/22/1993,89.14
2/23/1993,89.15
2/24/1993,89.34
2/25/1993,88.91
2/26/1993,88.6
3/1/1993,87.39
3/2/1993,88.6
3/3/1993,89.17
3/4/1993,88.86
3/5/1993,89.12
3/8/1993,91.64
3/9/1993,91.72
3/10/1993,91.44
3/11/1993,90.51
3/12/1993,89.15
3/15/1993,89.84
3/16/1993,89.49
3/17/1993,88.78
3/18/1993,89.76
3/19/1993,89.78
3/22/1993,90
3/23/1993,90
3/24/1993,90.24
3/25/1993,90.19
3/26/1993,89.39
3/29/1993,89.03
3/30/1993,89.24
3/31/1993,88.74
4/1/1993,88.84
4/2/1993,87.69
4/5/1993,88.63
4/6/1993,88.32
4/7/1993,87.88
4/8/1993,87.16
4/12/1993,87.95
4/13/1993,88.22
4/14/1993,88.61
4/15/1993,89.66
4/16/1993,90.94
4/19/1993,90.49
4/20/1993,90.33
4/21/1993,90.22
4/22/1993,90.42
4/23/1993,90.35
4/26/1993,90.36
4/27/1993,90.25
4/28/1993,90.16
4/29/1993,90.31
4/30/1993,90.65
5/3/1993,90.53
5/4/1993,90.04
5/5/1993,89.93
5/6/1993,89.5
5/7/1993,89.24
5/10/1993,88.97
5/11/1993,89.43
5/12/1993,90.35
5/13/1993,90.33
5/14/1993,89.92
5/17/1993,89.65
5/18/1993,90.01
5/19/1993,91.15
5/20/1993,91.7
5/21/1993,91.24
5/24/1993,91.58
5/25/1993,92.35
5/26/1993,92.58
5/27/1993,93
5/28/1993,92.17
6/1/1993,92.52
6/2/1993,92.54
6/3/1993,92.42
6/4/1993,91.99
6/7/1993,92.07
6/8/1993,90.87
6/9/1993,90.42
6/10/1993,89.99
6/11/1993,89.6
6/14/1993,89.24
6/15/1993,88.55
6/16/1993,88.75
6/17/1993,89.59
6/18/1993,89.28
6/21/1993,89.67
6/22/1993,89.35
6/23/1993,88.72
6/24/1993,89.07
6/25/1993,89.01
6/28/1993,89.6
6/29/1993,89.08
6/30/1993,89.65
7/1/1993,90.52
7/2/1993,90.24
7/6/1993,89.28
7/7/1993,89.21
7/8/1993,89.85
7/9/1993,90.02
7/12/1993,89.98
7/13/1993,89.9
7/14/1993,90.43
7/15/1993,90.2
7/16/1993,89.99
7/19/1993,89.77
7/20/1993,89.64
7/21/1993,89.84
7/22/1993,89.39
7/23/1993,89.74
7/26/1993,90.7
7/27/1993,90.3
7/28/1993,89.76
7/29/1993,90.23
7/30/1993,89.9
8/2/1993,90.08
8/3/1993,90.18
8/4/1993,89.89
8/5/1993,89.25
8/6/1993,89.37
8/9/1993,89.74
8/10/1993,89.96
8/11/1993,90.09
8/12/1993,89.27
8/13/1993,90.25
8/16/1993,91.31
8/17/1993,91.25
8/18/1993,91.9
8/19/1993,91.51
8/20/1993,91.63
8/23/1993,91.61
8/24/1993,92.57
8/25/1993,92.71
8/26/1993,92.5
8/27/1993,91.98
8/30/1993,91.98
8/31/1993,92.01
9/1/1993,91.49
9/2/1993,90.77
9/3/1993,90.78
9/7/1993,89.38
9/8/1993,89.44
9/9/1993,89.27
9/10/1993,89.67
9/13/1993,90.01
9/14/1993,89.3
9/15/1993,90.07
9/16/1993,90.11
9/17/1993,89.86
9/20/1993,88.81
9/21/1993,87.82
9/22/1993,87.95
9/23/1993,87.97
9/24/1993,87.84
9/27/1993,88.23
9/28/1993,87.98
9/29/1993,87.69
9/30/1993,88.09
10/1/1993,88.83
10/4/1993,89.16
10/5/1993,89.33
10/6/1993,89.32
10/7/1993,89.02
10/8/1993,89.28
10/11/1993,89.37
10/12/1993,89.32
10/13/1993,88.83
10/14/1993,88.45
10/15/1993,88.66
10/18/1993,89.41
10/19/1993,90.26
10/20/1993,90.81
10/21/1993,89.82
10/22/1993,90.11
10/25/1993,90.68
10/26/1993,92.01
10/27/1993,91.61
10/28/1993,92.04
10/29/1993,91.57
11/1/1993,92.4
11/2/1993,93
11/3/1993,92.32
11/4/1993,92.08
11/5/1993,91.9
11/8/1993,91.82
11/9/1993,91.17
11/10/1993,92.34
11/11/1993,92.99
11/12/1993,94.41
11/15/1993,94.19
11/16/1993,94.21
11/17/1993,93.6
11/18/1993,93.48
11/19/1993,94.03
11/22/1993,93.78
11/23/1993,93.64
11/24/1993,93.64
11/26/1993,93.79
11/29/1993,93.34
11/30/1993,93.76
12/1/1993,94.3
12/2/1993,94.34
12/3/1993,94.75
12/6/1993,94.7
12/7/1993,94.72
12/8/1993,95.93
12/9/1993,95.09
12/10/1993,95.67
12/13/1993,96.96
12/14/1993,96.48
12/15/1993,96.11
12/16/1993,96.2
12/17/1993,96.34
12/20/1993,96.33
12/21/1993,96.03
12/22/1993,96.19
12/23/1993,96.03
12/27/1993,96.94
12/28/1993,97.04
12/29/1993,97.12
12/30/1993,96.91
12/31/1993,96.79
1/3/1994,97.47
1/4/1994,98.32
1/5/1994,99.61
1/6/1994,100.19
1/7/1994,99.52
1/10/1994,100.82
1/11/1994,100.61
1/12/1994,100.52
1/13/1994,100.42
1/14/1994,101.3
1/17/1994,101.92
1/18/1994,102.69
1/19/1994,103.3
1/20/1994,103.22
1/21/1994,103
1/24/1994,102.83
1/25/1994,102.38
1/26/1994,102.6
1/27/1994,102.9
1/28/1994,103.21
1/31/1994,104.47
2/1/1994,105.14
2/2/1994,105.22
2/3/1994,105.27
2/4/1994,102.78
2/7/1994,103.33
2/8/1994,103.42
2/9/1994,104.06
2/10/1994,103.28
2/11/1994,102.25
2/14/1994,102.3
2/15/1994,102.81
2/16/1994,103.46
2/17/1994,103.25
2/18/1994,102.64
2/22/1994,102.33
2/23/1994,101.99
2/24/1994,100.52
2/25/1994,101.19
2/28/1994,101.46
3/1/1994,100.5
3/2/1994,100.07
3/3/1994,99.87
3/4/1994,100.41
3/7/1994,101.17
3/8/1994,100.82
3/9/1994,101.27
3/10/1994,100.8
3/11/1994,101.05
3/14/1994,101.61
3/15/1994,101.41
3/16/1994,101.99
3/17/1994,103.18
3/18/1994,103.46
3/21/1994,102.28
3/22/1994,102.84
3/23/1994,103.58
3/24/1994,102.61
3/25/1994,101.55
3/28/1994,101.3
3/29/1994,98.94
3/30/1994,97.27
3/31/1994,97.11
4/4/1994,95.57
4/5/1994,97.59
4/6/1994,97.68
4/7/1994,98.23
4/8/1994,97.74
4/11/1994,98.28
4/12/1994,97.72
4/13/1994,97.07
4/14/1994,96.91
4/15/1994,96.24
4/18/1994,95.2
4/19/1994,94.04
4/20/1994,92.91
4/21/1994,93.36
4/22/1994,93.44
4/25/1994,95.93
4/26/1994,96.64
4/28/1994,96.47
4/29/1994,97.03
5/2/1994,97.88
5/3/1994,97.83
5/4/1994,97.19
5/5/1994,97.52
5/6/1994,96.78
5/9/1994,95.98
5/10/1994,96.1
5/11/1994,95.93
5/12/1994,96.24
5/13/1994,96.86
5/16/1994,97.06
5/17/1994,97.65
5/18/1994,98.91
5/19/1994,100.4
5/20/1994,100.35
5/23/1994,100.58
5/24/1994,100.38
5/25/1994,100.82
5/26/1994,100.85
5/27/1994,101.03
5/31/1994,101
6/1/1994,100.8
6/2/1994,100.6
6/3/1994,101.11
6/6/1994,100.72
6/7/1994,100.29
6/8/1994,100.27
6/9/1994,100.47
6/10/1994,100.77
6/13/1994,102.06
6/14/1994,102.57
6/15/1994,102.56
6/16/1994,102.86
6/17/1994,102.3
6/20/1994,100.9
6/21/1994,100.42
6/22/1994,100.89
6/23/1994,100.06
6/24/1994,98.23
6/27/1994,98.95
6/28/1994,98.54
6/29/1994,98.75
6/30/1994,98.1
7/1/1994,98.48
7/5/1994,98.27
7/6/1994,98.59
7/7/1994,98.78
7/8/1994,99.29
7/11/1994,99.23
7/12/1994,99.23
7/13/1994,99.32
7/14/1994,100.44
7/15/1994,101.32
7/18/1994,101.89
7/19/1994,102.47
7/20/1994,101.93
7/21/1994,101.91
7/22/1994,102.13
7/25/1994,102.31
7/26/1994,102.47
7/27/1994,102
7/28/1994,102.08
7/29/1994,102.86
8/1/1994,104.08
8/2/1994,104.65
8/3/1994,105.16
8/4/1994,104.47
8/5/1994,103.9
8/8/1994,103.8
8/9/1994,104.06
8/10/1994,104.32
8/11/1994,103.54
8/12/1994,103.46
8/15/1994,102.97
8/16/1994,103.44
8/17/1994,102.6
8/18/1994,102.38
8/19/1994,102.49
8/22/1994,102.22
8/23/1994,102.53
8/24/1994,104.8
8/25/1994,104.47
8/26/1994,106.08
8/29/1994,107.37
8/30/1994,108.44
8/31/1994,108.81
9/1/1994,108.15
9/2/1994,107.79
9/6/1994,107.92
9/7/1994,107.42
9/8/1994,108.22
9/9/1994,107.08
9/12/1994,106.71
9/13/1994,107.35
9/14/1994,107.3
9/15/1994,108.34
9/16/1994,108.74
9/19/1994,109.64
9/20/1994,107.96
9/21/1994,107.19
9/22/1994,107.14
9/23/1994,107.85
9/26/1994,107.8
9/27/1994,108.42
9/28/1994,109.61
9/29/1994,109.16
9/30/1994,108.69
10/3/1994,108.25
10/4/1994,106.19
10/5/1994,105.03
10/6/1994,104.73
10/7/1994,104.65
10/10/1994,105.76
10/11/1994,106.38
10/12/1994,106.05
10/13/1994,106.67
10/14/1994,107.31
10/17/1994,107.73
10/18/1994,107.18
10/19/1994,107.24
10/20/1994,106.98
10/21/1994,106.44
10/24/1994,105.39
10/25/1994,104.43
10/26/1994,103.91
10/27/1994,104.43
10/28/1994,105.69
10/31/1994,104.86
11/1/1994,102.72
11/2/1994,101.74
11/3/1994,101.76
11/4/1994,100.85
11/7/1994,100.65
11/8/1994,101.19
11/9/1994,100.77
11/10/1994,100.27
11/11/1994,99.48
11/14/1994,99.83
11/15/1994,100.1
11/16/1994,99.8
11/17/1994,98.96
11/18/1994,98.22
11/21/1994,97.34
11/22/1994,94.62
11/23/1994,93.76
11/25/1994,94.72
11/28/1994,95.18
11/29/1994,95.73
11/30/1994,96.62
12/1/1994,95.63
12/2/1994,96.63
12/5/1994,96.53
12/6/1994,97
12/7/1994,96.95
12/8/1994,95.61
12/9/1994,95.8
12/12/1994,96.7
12/13/1994,96.47
12/14/1994,98.21
12/15/1994,99.06
12/16/1994,100.26
12/19/1994,99.73
12/20/1994,99.49
12/21/1994,100.03
12/22/1994,100
12/23/1994,100.02
12/27/1994,100.25
12/28/1994,100
12/29/1994,99.55
12/30/1994,100
1/3/1995,99.59
1/4/1995,99.74
1/5/1995,99.78
1/6/1995,100.78
1/9/1995,101.17
1/10/1995,101.51
1/11/1995,102.15
1/12/1995,102.05
1/13/1995,102.73
1/16/1995,102.98
1/17/1995,103.25
1/18/1995,103.77
1/19/1995,103.15
1/20/1995,102.28
1/23/1995,101.23
1/24/1995,101.38
1/25/1995,101.37
1/26/1995,100.23
1/27/1995,98.07
1/30/1995,96.04
1/31/1995,96.04
2/1/1995,97.09
2/2/1995,98.01
2/3/1995,99.23
2/6/1995,99.38
2/7/1995,100.04
2/8/1995,99.86
2/9/1995,100.03
2/10/1995,100.21
2/13/1995,100.97
2/14/1995,101.25
2/15/1995,102.21
2/16/1995,102.09
2/17/1995,101.61
2/21/1995,102.04
2/22/1995,102.06
2/23/1995,102.41
2/24/1995,102.38
2/27/1995,101.81
2/28/1995,102.21
3/1/1995,101.25
3/2/1995,100.52
3/3/1995,100.4
3/6/1995,100.02
3/7/1995,99.82
3/8/1995,99.73
3/9/1995,99.86
3/10/1995,101.07
3/13/1995,101.1
3/14/1995,101.5
3/15/1995,102.02
3/16/1995,102.06
3/17/1995,102.39
3/20/1995,102.64
3/21/1995,102.4
3/22/1995,102.8
3/23/1995,103.71
3/24/1995,104.79
3/27/1995,104.79
3/28/1995,105.49
3/29/1995,106.11
3/30/1995,108.17
3/31/1995,107.65
4/3/1995,107.44
4/4/1995,108.09
4/5/1995,108.92
4/6/1995,109.32
4/7/1995,108.42
4/10/1995,108.59
4/11/1995,108.43
4/12/1995,108.57
4/13/1995,108.13
4/17/1995,107.25
4/18/1995,106.28
4/19/1995,106.57
4/20/1995,107
4/21/1995,107.82
4/24/1995,108.72
4/25/1995,108.68
4/26/1995,108.13
4/27/1995,108.78
4/28/1995,109
5/1/1995,109.13
5/2/1995,109.19
5/3/1995,109.34
5/4/1995,109.05
5/5/1995,108.53
5/8/1995,109.82
5/9/1995,109.37
5/10/1995,109.82
5/11/1995,110.59
5/12/1995,111.56
5/15/1995,112.47
5/16/1995,113.24
5/17/1995,112.29
5/18/1995,110.67
5/19/1995,110.64
5/22/1995,111.15
5/23/1995,112.93
5/24/1995,113.09
5/25/1995,111.77
5/26/1995,110.87
5/30/1995,110.83
5/31/1995,112.23
6/1/1995,112.48
6/2/1995,110.98
6/5/1995,112.05
6/6/1995,112.68
6/7/1995,112.73
6/8/1995,112.97
6/9/1995,111.86
6/12/1995,112.1
6/13/1995,112.28
6/14/1995,111.74
6/15/1995,111.99
6/16/1995,112.26
6/19/1995,113.57
6/20/1995,113.08
6/21/1995,112.99
6/22/1995,115.31
6/23/1995,115.41
6/26/1995,114.48
6/27/1995,114.26
6/28/1995,114.54
6/29/1995,115.45
6/30/1995,116.34
7/3/1995,116.91
7/5/1995,118.29
7/6/1995,120.15
7/7/1995,123.52
7/10/1995,124.27
7/11/1995,122.5
7/12/1995,124.38
7/13/1995,123.66
7/14/1995,122.89
7/17/1995,123.27
7/18/1995,121.67
7/19/1995,119.85
7/20/1995,120.34
7/21/1995,119.8
7/24/1995,120.4
7/25/1995,120.65
7/26/1995,119.38
7/27/1995,119.92
7/28/1995,119.82
7/31/1995,119.47
8/1/1995,119.74
8/2/1995,119.8
8/3/1995,120.41
8/4/1995,120.24
8/7/1995,120.86
8/8/1995,120.5
8/9/1995,119.63
8/10/1995,118.78
8/11/1995,118.43
8/14/1995,118.88
8/15/1995,118.73
8/16/1995,119.86
8/17/1995,120.06
8/18/1995,120
8/21/1995,120.21
8/22/1995,120.31
8/23/1995,119.56
8/24/1995,119.29
8/25/1995,119.73
8/28/1995,119.68
8/29/1995,119.47
8/30/1995,118.94
8/31/1995,118.73
9/1/1995,119.32
9/5/1995,120.92
