Date,Price
12/2/1991,81.91
12/3/1991,81.88
12/4/1991,82.17
12/5/1991,81.85
12/6/1991,82.27
12/9/1991,82.43
12/10/1991,83.31
12/11/1991,83.79
12/12/1991,84.69
12/13/1991,85.11
12/16/1991,84.45
12/17/1991,83.94
12/18/1991,84.46
12/19/1991,84.92
12/20/1991,86.47
12/23/1991,87.61
12/24/1991,86.7
12/26/1991,87.21
12/27/1991,87.07
12/30/1991,88
12/31/1991,88.73
1/2/1992,89.14
1/3/1992,89.53
1/6/1992,89.61
1/7/1992,89.99
1/8/1992,90.16
1/9/1992,90
1/10/1992,88.94
1/13/1992,88.17
1/14/1992,88.84
1/15/1992,88.04
1/16/1992,86.72
1/17/1992,87.16
1/20/1992,86.52
1/21/1992,86.83
1/22/1992,88.12
1/23/1992,87.4
1/24/1992,86.51
1/27/1992,85.84
1/28/1992,85.56
1/29/1992,85.27
1/30/1992,85.01
1/31/1992,84.4
2/3/1992,83.52
2/4/1992,84.28
2/5/1992,84.11
2/6/1992,83.8
2/7/1992,82.49
2/10/1992,83.92
2/11/1992,84.58
2/12/1992,84.73
2/13/1992,84.1
2/14/1992,83.9
2/18/1992,82.77
2/19/1992,82.81
2/20/1992,82.73
2/21/1992,81.67
2/24/1992,82.19
2/25/1992,81.89
2/26/1992,82.48
2/27/1992,82.08
2/28/1992,81.95
3/2/1992,81.56
3/3/1992,81.31
3/4/1992,81.14
3/5/1992,80.76
3/6/1992,80.99
3/9/1992,81.7
3/10/1992,82.07
3/11/1992,81.61
3/12/1992,81.36
3/13/1992,81.39
3/16/1992,81.26
3/17/1992,81.66
3/18/1992,81.45
3/19/1992,81.92
3/20/1992,82.58
3/23/1992,82.53
3/24/1992,82.16
3/25/1992,82.54
3/26/1992,82.29
3/27/1992,81.38
3/30/1992,81.87
3/31/1992,81.93
4/1/1992,81.86
4/2/1992,81.35
4/3/1992,81.93
4/6/1992,81.9
4/7/1992,81.32
4/8/1992,80.16
4/9/1992,81.42
4/10/1992,82.32
4/13/1992,82.65
4/14/1992,83.93
4/15/1992,85.21
4/16/1992,85.94
4/20/1992,85.99
4/21/1992,86.4
4/22/1992,87.65
4/23/1992,88.4
4/24/1992,87.49
4/27/1992,87.93
4/28/1992,88.05
4/29/1992,88.22
4/30/1992,88.49
5/1/1992,88.15
5/4/1992,89.06
5/5/1992,88.44
5/6/1992,88.31
5/7/1992,87.91
5/8/1992,88
5/11/1992,87.85
5/12/1992,87.47
5/13/1992,87.3
5/14/1992,87.71
5/15/1992,87.2
5/18/1992,88.04
5/19/1992,88.61
5/20/1992,88.86
5/21/1992,87.38
5/22/1992,87.16
5/26/1992,85.57
5/27/1992,86.5
5/28/1992,86.16
5/29/1992,85.72
6/1/1992,85.96
6/2/1992,84.92
6/3/1992,85.24
6/4/1992,84.97
6/5/1992,85.69
6/8/1992,86.57
6/9/1992,86.21
6/10/1992,86.56
6/11/1992,87.03
6/12/1992,87.02
6/15/1992,87.09
6/16/1992,86.66
6/17/1992,86.38
6/18/1992,86.08
6/19/1992,86.81
6/22/1992,86.69
6/23/1992,86.56
6/24/1992,85.92
6/25/1992,85.72
6/26/1992,85.93
6/29/1992,86.93
6/30/1992,87.09
7/1/1992,88.16
7/2/1992,88.34
7/6/1992,89.24
7/7/1992,89.33
7/8/1992,89.83
7/9/1992,90.31
7/10/1992,90.22
7/13/1992,90.22
7/14/1992,90.64
7/15/1992,90.8
7/16/1992,91.7
7/17/1992,91.44
7/20/1992,91.36
7/21/1992,90.89
7/22/1992,90.07
7/23/1992,90.61
7/24/1992,90.44
7/27/1992,90.5
7/28/1992,91.64
7/29/1992,92.45
7/30/1992,92.57
7/31/1992,92.77
8/3/1992,92.54
8/4/1992,92.6
8/5/1992,92.26
8/6/1992,92.43
8/7/1992,91.96
8/10/1992,91.96
8/11/1992,92.13
8/12/1992,92.19
8/13/1992,92.28
8/14/1992,93.04
8/17/1992,93.96
8/18/1992,93.81
8/19/1992,93.25
8/20/1992,93.48
8/21/1992,93.1
8/24/1992,92.3
8/25/1992,92.88
8/26/1992,93.02
8/27/1992,91.95
8/28/1992,91.8
8/31/1992,91.56
9/1/1992,92.05
9/2/1992,92.12
9/3/1992,91.82
9/4/1992,92.12
9/8/1992,91.44
9/9/1992,92.15
9/10/1992,92.41
9/11/1992,91.88
9/14/1992,92.43
9/15/1992,91.39
9/16/1992,91.47
9/17/1992,90.84
9/18/1992,92
9/21/1992,91.75
9/22/1992,90.79
9/23/1992,91.83
9/24/1992,91.78
9/25/1992,91.72
9/28/1992,92.18
9/29/1992,92.27
9/30/1992,92.75
10/1/1992,92.45
10/2/1992,91.25
10/5/1992,90.53
10/6/1992,90.25
10/7/1992,89.51
10/8/1992,90.47
10/9/1992,90.18
10/12/1992,91.83
10/13/1992,92.41
10/14/1992,91.92
10/15/1992,91.95
10/16/1992,92.27
10/19/1992,92
10/20/1992,91.89
10/21/1992,90.79
10/22/1992,89.99
10/23/1992,90.1
10/26/1992,91.34
10/27/1992,91.48
10/28/1992,92.23
10/29/1992,92.17
10/30/1992,91.74
11/2/1992,92.53
11/3/1992,90.97
11/4/1992,90.75
11/5/1992,90.46
11/6/1992,89.99
11/9/1992,89.63
11/10/1992,88.98
11/11/1992,89.87
11/12/1992,89.98
11/13/1992,90.36
11/16/1992,91.04
11/17/1992,90.78
11/18/1992,92.14
11/19/1992,93.2
11/20/1992,93.83
11/23/1992,93.66
11/24/1992,93.99
11/25/1992,94.44
11/27/1992,93.76
11/30/1992,93.73
12/1/1992,93.57
12/2/1992,93.44
12/3/1992,93.49
12/4/1992,93.9
12/7/1992,94.81
12/8/1992,95.76
12/9/1992,95.91
12/10/1992,95.67
12/11/1992,95.95
12/14/1992,96.17
12/15/1992,96
12/16/1992,96.4
12/17/1992,97.39
12/18/1992,98.62
12/21/1992,99.31
12/22/1992,99.69
12/23/1992,100.86
12/24/1992,100.63
12/28/1992,99.17
12/29/1992,99.37
12/30/1992,99.17
12/31/1992,98.5
1/4/1993,98.24
1/5/1993,98.56
1/6/1993,99.47
1/7/1993,99.49
1/8/1993,98.62
1/11/1993,98.94
1/12/1993,99.32
1/13/1993,100.36
1/14/1993,101.48
1/15/1993,101.71
1/18/1993,102.2
1/19/1993,101.95
1/20/1993,100.87
1/21/1993,102.66
1/22/1993,102.53
1/25/1993,101.46
1/26/1993,100.97
1/27/1993,100.81
1/28/1993,100.55
1/29/1993,99.25
2/1/1993,100.91
2/2/1993,101.26
2/3/1993,102.05
2/4/1993,101.89
2/5/1993,101.31
2/8/1993,101.37
2/9/1993,101.3
2/10/1993,102.23
2/11/1993,102.46
2/12/1993,102.46
2/16/1993,100.86
2/17/1993,101.5
2/18/1993,101.64
2/19/1993,103.03
2/22/1993,104.91
2/23/1993,105.18
2/24/1993,106.03
2/25/1993,105.97
2/26/1993,105.85
3/1/1993,105.38
3/2/1993,106.14
3/3/1993,107.22
3/4/1993,106.92
3/5/1993,105.5
3/8/1993,107.73
3/9/1993,107.05
3/10/1993,106.57
3/11/1993,105.6
3/12/1993,104.51
3/15/1993,105.71
3/16/1993,106.69
3/17/1993,105.8
3/18/1993,106.72
3/19/1993,106.75
3/22/1993,106.06
3/23/1993,106.41
3/24/1993,107.07
3/25/1993,107.65
3/26/1993,106.98
3/29/1993,107.7
3/30/1993,108.07
3/31/1993,108.29
4/1/1993,108.2
4/2/1993,106.88
4/5/1993,106.78
4/6/1993,108.45
4/7/1993,108.17
4/8/1993,108.24
4/12/1993,109.52
4/13/1993,108.99
4/14/1993,108.74
4/15/1993,109.58
4/16/1993,110.44
4/19/1993,110.03
4/20/1993,108.86
4/21/1993,108.48
4/22/1993,106.98
4/23/1993,105.66
4/26/1993,105.67
4/27/1993,106.26
4/28/1993,105.12
4/29/1993,104.98
4/30/1993,105
5/3/1993,105.5
5/4/1993,105.38
5/5/1993,105.19
5/6/1993,105.06
5/7/1993,104.51
5/10/1993,104.84
5/11/1993,105.12
5/12/1993,104.78
5/13/1993,102.56
5/14/1993,103.47
5/17/1993,103.32
5/18/1993,104.26
5/19/1993,107.06
5/20/1993,107.57
5/21/1993,106.14
5/24/1993,107.03
5/25/1993,107.93
5/26/1993,108.87
5/27/1993,108.47
5/28/1993,108.38
6/1/1993,109.37
6/2/1993,109.6
6/3/1993,109.66
6/4/1993,109.79
6/7/1993,110.08
6/8/1993,109.68
6/9/1993,110.08
6/10/1993,109.96
6/11/1993,110.7
6/14/1993,111.27
6/15/1993,111.27
6/16/1993,110.98
6/17/1993,111.29
6/18/1993,110.13
6/21/1993,111.26
6/22/1993,111.91
6/23/1993,111.68
6/24/1993,112.22
6/25/1993,111.91
6/28/1993,113.05
6/29/1993,113.31
6/30/1993,113.79
7/1/1993,113.82
7/2/1993,112.87
7/6/1993,112.09
7/7/1993,112.09
7/8/1993,113.41
7/9/1993,113.13
7/12/1993,113.84
7/13/1993,112.87
7/14/1993,113.64
7/15/1993,114.61
7/16/1993,114.08
7/19/1993,115.04
7/20/1993,115.47
7/21/1993,115.4
7/22/1993,114.67
7/23/1993,114.7
7/26/1993,115.74
7/27/1993,115.25
7/28/1993,115.26
7/29/1993,116.02
7/30/1993,115.27
8/2/1993,115.6
8/3/1993,114.56
8/4/1993,114.03
8/5/1993,114.51
8/6/1993,113.69
8/9/1993,114.7
8/10/1993,114.98
8/11/1993,115.26
8/12/1993,114.7
8/13/1993,115.11
8/16/1993,114.85
8/17/1993,114.1
8/18/1993,113.28
8/19/1993,111.94
8/20/1993,112.42
8/23/1993,111.55
8/24/1993,113.6
8/25/1993,115.18
8/26/1993,116.43
8/27/1993,117.36
8/30/1993,118.89
8/31/1993,119.78
9/1/1993,120.16
9/2/1993,119.79
9/3/1993,119.83
9/7/1993,119.32
9/8/1993,119
9/9/1993,118.3
9/10/1993,119.6
9/13/1993,120.16
9/14/1993,119.35
9/15/1993,119.95
9/16/1993,118.72
9/17/1993,119.05
9/20/1993,118.01
9/21/1993,117.17
9/22/1993,117.85
9/23/1993,118.08
9/24/1993,116.56
9/27/1993,118.26
9/28/1993,118.78
9/29/1993,117.86
9/30/1993,117.67
10/1/1993,117.98
10/4/1993,117.31
10/5/1993,116.69
10/6/1993,116.75
10/7/1993,115.53
10/8/1993,115.78
10/11/1993,114.31
10/12/1993,114.68
10/13/1993,114.93
10/14/1993,120.37
10/15/1993,120.35
10/18/1993,118.33
10/19/1993,119.05
10/20/1993,119.14
10/21/1993,117.67
10/22/1993,116.19
10/25/1993,116.6
10/26/1993,116.81
10/27/1993,117.22
10/28/1993,117.48
10/29/1993,117.85
11/1/1993,117.94
11/2/1993,118.31
11/3/1993,116.2
11/4/1993,114.42
11/5/1993,114.71
11/8/1993,113.85
11/9/1993,113.26
11/10/1993,113.04
11/11/1993,113.56
11/12/1993,113.29
11/15/1993,112.68
11/16/1993,113.26
11/17/1993,112.23
11/18/1993,111.6
11/19/1993,110.99
11/22/1993,109.61
